"field","field_type","field_description"
"type","character","Type of migration. Can be either Emigrants or Immigrants"
"coverage","character","Coverage of information"
"od_name","character","Name of country of origin"
"area","numeric","Code for continent of country of origin"
"area_name","character","Name for continent of country of origin"
"reg","numeric","Code for region of country of origin"
"reg_name","character","Name for region of country of origin"
"dev","numeric","Code for development status"
"dev_name","character","Name for development status"
