"field","field_type","field_description"
"pest","character","Name of pest/pathogen"
"country","character","Name of reference country"
"year_published","character","Year article was published in YYYY format"
"issue","character","Issue number in which article was published"
"article_number","character","Article number in year/number format"
"title","character","Title of article"
"keyword1","character","First keyword describing content of article (e.g. new record, detailed record, absence)"
"keyword2","character","Second keyword describing content of article"
