"field","field_type","field_description"
"country_iso3c","character","ISO 3166-1 alpha-3 code for reference country"
"year","integer","Year in YYYY format"
"gdp_dollars","numeric","Value for GDP in US Dollars"
"human_population","numeric","Value for human population size"
