"field","field_type","field_description"
"year","integer","Year in YYYY format"
"country_origin","character","ISO 3166-1 alpha-3 code for origin or reference country"
"country_destination","character","ISO 3166-1 alpha-3 code for destination or connecting country"
"fao_crop_quantity","numeric","Quantity of all crop items traded between origin and destination country (in metric tons)"
"imputed_value","logical","Is the quantity of all crop items traded between origin and destination country imputed?"
"source","character","Source of information"
