"field","field_type","field_description"
"country_destination","character","ISO 3166-1 alpha-3 code for origin or reference country"
"country_origin","character","ISO 3166-1 alpha-3 code for destination or connecting country"
"year","integer","Year in YYYY format"
"n_human_migrants","numeric","Number of human migrants between origin and destination country"
"imputed_value","logical","Is the value for the number of human migrants imputed?"
"source","character","Source of information"
