"field","field_type","field_description"
"country_iso3c","character","ISO 3166-1 alpha-3 code for reference country"
"year","integer","Year in YYYY format"
"gdp_dollars","numeric","Value of gross domestic product (GDP) in US dollars"
"imputed_value","logical","Is the value for gross domestic product (GDP) imputed?"
"source","character","Source of information"
