"field","field_type","field_description"
"country_iso3c","character","ISO 3166-1 alpha-3 code for reference country"
"year","integer","Year in YYYY format"
"human_population","numeric","Human population size"
"imputed_value","logical","Is the human population size imputed?"
"source","character","Source of information"
