"field","field_type","field_description"
"year","integer","ISO 3166-1 alpha-3 code for reference country"
"country_origin","character","Year in YYYY format"
"country_destination","character","Value for GDP in US Dollars"
"name","character","Value for human population size"
"value","numeric","ISO 3166-1 alpha-3 code for reference country"
"imputed_value","logical","Year in YYYY format"
"commodity_fullname_english","character","Value for GDP in US Dollars"
"source","character","Value for human population size"
