"field","field_type","field_description"
"country_origin","character","ISO 3166-1 alpha-3 code for origin or reference country"
"country_destination","character","ISO 3166-1 alpha-3 code for destination or connecting country"
"gc_dist_meters","numeric","Distance between centroids of origin and destination country in metres"
