"field","field_type","field_description"
"year","integer","Year in YYYY format"
"country_origin","character","ISO 3166-1 alpha-3 code for origin or reference country"
"country_destination","character","ISO 3166-1 alpha-3 code for destination or connecting country"
"comtrade_dollars","numeric","Value in US dollars of trade between origin and destination country"
"imputed_value","logical","Is the value of trade between origin and destination country imputed?"
"source","character","Source of information"
