"field","field_type","field_description"
"year","numeric","Year in YYYY format"
"country_origin","character","ISO 3166-1 alpha-3 code for origin or reference country"
"country_destination","character","ISO 3166-1 alpha-3 code for destination or connecting country"
"name","character","Code used by FAO for name of livestock item"
"value","numeric","Value of livestock trade for specific livestock item between origin and destination country"
"imputed_value","logical","Is the value for livestock trade for specific livestock item between origin and destination country imputed?"
"item","character","Name of livestock item"
"source","character","Source of information"
